low1,low2,high1,high2,tf1,scale,train_final_price,train_n_trades,train_n_buy,train_n_sell,train_final_cash,train_final_position,train_final_equity,train_baseline,train_excess,train_excess_pct,train_years,train_ann_excess_pct,train_sharpe_excess,train_x_mdd,train_max_drawdown,train_turnover,train_ann_net,test_final_price,test_n_trades,test_n_buy,test_n_sell,test_final_cash,test_final_position,test_final_equity,test_baseline,test_excess,test_excess_pct,test_years,test_ann_excess_pct,test_sharpe_excess,test_x_mdd,test_max_drawdown,test_turnover,test_ann_net,ann_net_min,ann_net_mean,pos_ratio,sharpe_min,x_mdd_max,filter_pass,S,score,pareto
2.0,0.0,1.5,1.0,60,1.0,1.058,40,15,25,462100.0,0.0,462100.0,411600.0,50500.0,12.269193391642371,0.48248726138869874,25.42905144548082,1.348960674520969,0.11442885861395438,0.04891576313594662,934780.0,25.19369928003323,1.147,14,2,12,437860.0,0.0,437860.0,429400.0,8460.0,1.9701909641360038,0.17584797322990342,11.203944679875148,1.0087852355593674,0.038425612006208226,0.04111310592459605,330380.0,10.985176403082173,10.985176403082173,10.985176403082173,1.0,1.0087852355593674,0.038425612006208226,False,0.15892226585057412,9.478786219556982,False
2.5,0.3,1.5,1.0,60,1.0,1.058,30,10,20,462040.0,0.0,462040.0,411600.0,50440.0,12.254616132167152,0.48248726138869874,25.398838711090146,1.3039335902322822,0.11417865155166286,0.04891576313594662,724040.0,25.216545142688304,1.147,15,3,12,415060.0,20000.0,438000.0,429400.0,8600.0,2.0027945971122496,0.17584797322990342,11.389352747863624,1.025580399301138,0.03844007203179757,0.04111310592459605,353180.0,11.155486956963015,11.155486956963015,11.155486956963015,1.0,1.025580399301138,0.03844007203179757,False,0.17971734216224278,9.456067617448687,False
2.5,1.0,1.5,1.0,60,1.0,1.058,38,14,24,453320.0,0.0,453320.0,411600.0,41720.0,10.136054421768707,0.48248726138869874,21.0079213129794,1.1258184764729628,0.1141226265281034,0.06726438698915763,895360.0,20.782494030779144,1.147,15,3,12,415120.0,20000.0,438060.0,429400.0,8660.0,2.0167675826734976,0.17584797322990342,11.468813348430114,1.0333473527762553,0.03845040062150425,0.04111310592459605,353120.0,11.234987287829789,11.234987287829789,11.234987287829789,1.0,1.0333473527762553,0.03845040062150425,False,0.20526696717369375,9.32157571212245,False
2.5,0.0,1.5,1.0,60,1.0,1.058,30,10,20,461760.0,0.0,461760.0,411600.0,50160.0,12.186588921282798,0.48248726138869874,25.257845950600352,1.2945486843740843,0.11424411258319175,0.04891576313594662,724320.0,25.075481885818267,1.147,14,2,12,437860.0,0.0,437860.0,429400.0,8460.0,1.9701909641360038,0.17584797322990342,11.203944679875148,1.0087852355593674,0.038425612006208226,0.04111310592459605,330380.0,10.985176403082173,10.985176403082173,10.985176403082173,1.0,1.0087852355593674,0.038425612006208226,False,0.20436493823647972,9.121136006472824,False
1.5,0.5,1.5,0.8,60,1.0,1.058,63,28,35,390880.0,60000.0,454360.0,411600.0,42760.0,10.388726919339163,0.48248726138869874,21.53160870908435,2.3884690960782606,0.03913540488014843,0.10054958780914314,1486600.0,21.157323284541263,1.147,13,3,10,368320.0,60000.0,437140.0,429400.0,7740.0,1.8025151374010246,0.17584797322990342,10.250417473077261,1.2043353471224676,0.029481053320226318,0.043402154398563736,306240.0,10.047634020431579,10.047634020431579,10.047634020431579,1.0,1.2043353471224676,0.029481053320226318,False,0.11626669046715243,9.001105297002718,True
1.5,0.8,1.5,0.8,60,1.0,1.058,67,32,35,303200.0,140000.0,451320.0,411600.0,39720.0,9.650145772594753,0.48248726138869874,20.000830166623725,3.718131030799531,0.02238113517432867,0.10404696477641769,1574280.0,19.60446930415252,1.147,13,3,10,368280.0,60000.0,437100.0,429400.0,7700.0,1.7931998136935259,0.17584797322990342,10.19744373936627,1.1990096466250544,0.029481053320226318,0.043402154398563736,306280.0,9.99463379985373,9.99463379985373,9.99463379985373,1.0,1.1990096466250544,0.029481053320226318,False,0.1104440408707349,9.000574033443968,False
1.5,0.3,1.5,0.8,60,1.0,1.058,57,24,33,433180.0,20000.0,454340.0,411600.0,42740.0,10.383867832847425,0.48248726138869874,21.521537797620798,1.7177348166639468,0.07090903199193925,0.08593554833874593,1339140.0,21.184378788188113,1.147,13,3,10,368220.0,60000.0,437040.0,429400.0,7640.0,1.7792268281322778,0.17584797322990342,10.11798313879978,1.188716861447252,0.02947072473051964,0.043402154398563736,306340.0,9.915133468986957,9.915133468986957,9.915133468986957,1.0,1.188716861447252,0.02947072473051964,False,0.11585544215642674,8.885679178859979,False
2.0,0.5,1.5,0.8,60,1.0,1.058,46,18,28,459320.0,0.0,459320.0,411600.0,47720.0,11.593780369290574,0.48248726138869874,24.02919475204643,1.3851714822650698,0.1047243014500882,0.056915646598384544,1067240.0,23.76049276328727,1.147,13,3,10,368320.0,60000.0,437140.0,429400.0,7740.0,1.8025151374010246,0.17584797322990342,10.250417473077261,1.2043353471224676,0.029481053320226318,0.043402154398563736,306240.0,10.047634020431579,10.047634020431579,10.047634020431579,1.0,1.2043353471224676,0.029481053320226318,False,0.1316377746847187,8.87884289938175,False
1.8,0.5,1.5,0.8,60,1.0,1.058,54,23,31,413560.0,40000.0,455880.0,411600.0,44280.0,10.758017492711371,0.48248726138869874,22.296997980314668,1.6502591910994822,0.08993532564213766,0.07506869847614289,1255440.0,21.980912353119475,1.147,13,3,10,368320.0,60000.0,437140.0,429400.0,7740.0,1.8025151374010246,0.17584797322990342,10.250417473077261,1.2043353471224676,0.029481053320226318,0.043402154398563736,306240.0,10.047634020431579,10.047634020431579,10.047634020431579,1.0,1.2043353471224676,0.029481053320226318,False,0.13319375026361302,8.866651460171056,False
1.5,1.0,1.5,0.8,60,1.0,1.058,69,34,35,256240.0,180000.0,446680.0,411600.0,35080.0,8.522837706511176,0.48248726138869874,17.664378707078555,4.174423204034179,0.017898252057648396,0.12232492297443584,1621240.0,17.256194594549136,1.147,13,3,10,368260.0,60000.0,437080.0,429400.0,7680.0,1.7885421518397764,0.17584797322990342,10.170956872510772,1.196341011783082,0.029481053320226318,0.043402154398563736,306300.0,9.968133689564805,9.968133689564805,9.968133689564805,1.0,1.196341011783082,0.029481053320226318,False,0.12476312578745874,8.86242930713612,False
