low1,low2,high1,high2,tf1,train_final_price,train_n_trades,train_n_buy,train_n_sell,train_final_cash,train_final_position,train_final_equity,train_baseline,train_excess,train_excess_pct,train_max_drawdown,train_turnover,test_final_price,test_n_trades,test_n_buy,test_n_sell,test_final_cash,test_final_position,test_final_equity,test_baseline,test_excess,test_excess_pct,test_max_drawdown,test_turnover
1.2,0.8,1.2,0.8,10,1.194,79,30,49,424020.0,10000.0,435960.0,438800.0,-2840.0,-0.6472196900638103,0.06266884024219842,1035760.0,1.147,61,21,40,442970.0,10000.0,454440.0,429400.0,25040.0,5.831392640894271,0.05177123255764711,719550.0
1.5,0.3,1.5,0.8,21,1.194,68,24,44,442010.0,0.0,442010.0,438800.0,3210.0,0.7315405651777576,0.0624126688402422,886050.0,1.147,55,18,37,442950.0,10000.0,454420.0,429400.0,25020.0,5.826734979040522,0.07022878352590853,651890.0
1.5,0.5,1.5,0.8,21,1.194,72,26,46,443770.0,0.0,443770.0,438800.0,4970.0,1.1326344576116683,0.0624126688402422,938890.0,1.147,55,18,37,442830.0,10000.0,454300.0,429400.0,24900.0,5.7987890079180255,0.07043848428292826,652010.0
1.2,0.5,1.2,0.8,10,1.194,73,27,46,422150.0,10000.0,434090.0,438800.0,-4710.0,-1.0733819507748406,0.0624126688402422,949410.0,1.147,61,21,40,442740.0,10000.0,454210.0,429400.0,24810.0,5.777829529576152,0.05185592987062485,719780.0
1.5,0.5,1.2,0.3,60,1.194,87,34,53,458680.0,10000.0,470620.0,438800.0,31820.0,7.251595259799454,0.0670414742431341,1168100.0,1.147,99,40,59,442650.0,10000.0,454120.0,429400.0,24720.0,5.75687005123428,0.08609713844419861,1157490.0
2.5,0.8,1.2,0.8,10,1.194,28,4,24,428220.0,0.0,428220.0,438800.0,-10580.0,-2.4111212397447583,0.06266884024219842,336340.0,1.147,24,2,22,454120.0,0.0,454120.0,429400.0,24720.0,5.75687005123428,0.0446778325957609,299660.0
2.5,0.3,1.2,0.8,10,1.194,28,4,24,428240.0,0.0,428240.0,438800.0,-10560.0,-2.406563354603464,0.0624126688402422,336320.0,1.147,24,2,22,454080.0,0.0,454080.0,429400.0,24680.0,5.747554727526782,0.0446778325957609,299700.0
1.2,0.3,1.2,0.8,10,1.194,69,25,44,421760.0,10000.0,433700.0,438800.0,-5100.0,-1.162260711030082,0.0624126688402422,901860.0,1.147,59,20,39,442600.0,10000.0,454070.0,429400.0,24670.0,5.745225896599907,0.051813581214135984,696620.0
2.5,0.3,1.5,0.3,21,1.194,36,8,28,438300.0,0.0,438300.0,438800.0,-500.0,-0.11394712853236097,0.0624126688402422,454920.0,1.147,26,3,23,454030.0,0.0,454030.0,429400.0,24630.0,5.735910572892408,0.07130602167636105,322130.0
2.5,0.5,1.2,0.8,10,1.194,28,4,24,428250.0,0.0,428250.0,438800.0,-10550.0,-2.404284412032817,0.0624126688402422,336310.0,1.147,24,2,22,454030.0,0.0,454030.0,429400.0,24630.0,5.735910572892408,0.0446778325957609,299750.0
2.5,0.5,1.5,0.3,21,1.194,36,8,28,438370.0,0.0,438370.0,438800.0,-430.0,-0.09799453053783046,0.0624126688402422,454850.0,1.147,26,3,23,453930.0,0.0,453930.0,429400.0,24530.0,5.712622263623661,0.07130602167636105,322230.0
2.5,0.8,1.5,0.3,21,1.194,36,8,28,438040.0,0.0,438040.0,438800.0,-760.0,-0.1731996353691887,0.0624126688402422,455180.0,1.147,26,3,23,453830.0,0.0,453830.0,429400.0,24430.0,5.689333954354914,0.07130602167636105,322330.0
1.5,0.8,1.5,0.5,60,1.194,94,40,54,399740.0,60000.0,471380.0,438800.0,32580.0,7.424794895168642,0.0644086742678292,1278800.0,1.147,104,48,56,316180.0,120000.0,453820.0,429400.0,24420.0,5.687005123428039,0.11825413439397112,1214500.0
1.5,0.3,1.2,0.3,21,1.194,68,24,44,441030.0,0.0,441030.0,438800.0,2230.0,0.50820419325433,0.0624126688402422,885070.0,1.147,55,18,37,442330.0,10000.0,453800.0,429400.0,24400.0,5.68234746157429,0.06383646482822111,651270.0
